tiempo,rank
3.7577e-05,4
3.8973e-05,6
3.831e-05,6
3.8984e-05,6
3.7731e-05,4
3.7635e-05,6
3.7594e-05,4
3.8921e-05,6
3.7429e-05,6
3.7918e-05,6
3.9208e-05,6
3.8241e-05,6
3.7225e-05,4
3.8794e-05,6
3.7606e-05,4
3.9421e-05,6
3.7506e-05,4
3.8568e-05,6
3.7827e-05,4
3.9285e-05,6
3.8188e-05,4
3.9328e-05,6
3.7421e-05,4
3.9075e-05,6
3.7429e-05,6
3.8083e-05,4
3.8792e-05,6
3.7634e-05,6
3.896e-05,6
3.7742e-05,4
3.9202e-05,6
3.8631e-05,6
3.7823e-05,4
3.8668e-05,6
3.855e-05,6
3.757e-05,4
3.799e-05,6
3.8925e-05,6
3.7494e-05,4
3.7754e-05,6
3.8766e-05,6
3.7621e-05,4
3.8665e-05,6
3.7878e-05,4
3.7499e-05,6
3.752e-05,4
3.9104e-05,6
3.7845e-05,6
3.7647e-05,4
0.000822658,6
4.6089e-05,4
4.0577e-05,6
3.9882e-05,6
3.8983e-05,4
3.9081e-05,6
3.8826e-05,6
3.7964e-05,4
3.766e-05,6
3.8e-05,4
3.8872e-05,6
3.783e-05,6
3.9306e-05,6
3.9103e-05,6
3.7832e-05,6
3.9017e-05,6
3.7874e-05,6
3.9835e-05,6
3.8871e-05,6
3.9058e-05,6
3.7992e-05,6
3.8944e-05,6
3.7856e-05,4
3.9062e-05,6
3.7749e-05,4
3.9006e-05,6
3.7973e-05,4
3.8811e-05,6
3.7912e-05,4
3.9251e-05,6
3.7669e-05,4
3.8906e-05,6
3.7692e-05,4
3.8811e-05,6
3.7747e-05,6
3.9254e-05,6
4.047e-05,6
3.9144e-05,6
3.9106e-05,6
3.9085e-05,6
3.8027e-05,6
