tiempo,rank
3.902e-05,6
3.8975e-05,6
3.7469e-05,6
3.8865e-05,6
3.8481e-05,6
3.7346e-05,2
3.8655e-05,6
3.8719e-05,6
3.8689e-05,6
3.7458e-05,4
3.9124e-05,6
3.8386e-05,6
3.7521e-05,6
3.8763e-05,6
3.7617e-05,4
3.8756e-05,6
3.7409e-05,6
3.7521e-05,6
3.8387e-05,6
3.7766e-05,2
3.865e-05,6
3.7715e-05,6
3.776e-05,4
3.7681e-05,6
3.8701e-05,6
3.7625e-05,4
3.9079e-05,6
3.8957e-05,6
3.7382e-05,6
4.1841e-05,6
3.8094e-05,4
3.8798e-05,6
3.7806e-05,6
3.9013e-05,6
3.7608e-05,6
3.8845e-05,6
3.8947e-05,6
3.7315e-05,6
3.8998e-05,6
3.7367e-05,6
3.8741e-05,6
3.8596e-05,6
3.7477e-05,2
3.8926e-05,6
3.8032e-05,4
3.8671e-05,6
3.8706e-05,6
3.8948e-05,6
3.8716e-05,6
3.8585e-05,6
3.7682e-05,6
3.9035e-05,6
3.768e-05,2
3.8844e-05,6
5.0982e-05,4
3.7714e-05,6
3.7497e-05,6
3.8687e-05,6
3.8806e-05,6
4.2158e-05,6
3.887e-05,6
3.8907e-05,6
3.8924e-05,4
3.914e-05,6
3.8932e-05,6
3.9024e-05,6
3.8639e-05,6
3.7341e-05,6
3.865e-05,6
3.7901e-05,6
3.7888e-05,4
3.8605e-05,6
3.7909e-05,4
3.858e-05,6
3.7679e-05,2
4.0176e-05,6
3.7327e-05,6
3.7554e-05,6
3.8477e-05,6
3.782e-05,6
3.8687e-05,6
3.7937e-05,2
3.9061e-05,6
